factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,benchmark_return,excess_return
Grouped8_Equal,20250919,-0.0032291049334342544,0.0,1,1,0,0.0,-0.0030542514337190685,-0.00017485349971518589
Grouped8_Equal,20250922,0.005064727329335474,0.0,1,1,0,0.0,0.0050715739506346225,-6.8466212991488695e-06
Grouped8_Equal,20250923,-0.012829170051770106,0.0,1,1,0,0.0,-0.0062105549494330115,-0.006618615102337095
Grouped8_Equal,20250924,0.01391270310751229,0.0,2,2,0,0.0,0.01385113640115665,6.156670635563966e-05
Grouped8_Equal,20250925,-0.004698498027016418,0.0,2,2,0,0.0,0.001585956641048547,-0.006284454668064965
Grouped8_Equal,20250926,-0.011833330895876648,0.0,3,3,0,0.0,-0.012046947278093079,0.0002136163822164302
Grouped8_Equal,20250929,0.010524202275213609,0.0,3,3,0,0.0,0.01380895873556387,-0.003284756460350261
Grouped8_Equal,20250930,0.0040908073530755915,0.0,3,3,0,0.0,0.005994555419344572,-0.0019037480662689801
Grouped8_Equal,20251009,0.006525068253633553,0.0,4,4,0,0.0,0.013171937308677828,-0.006646869055044275
Grouped8_Equal,20251010,-0.006693055300535357,0.3474494706448508,0,0,0,0.0,-0.016328845674793313,0.009635790374257956
Grouped8_Equal,20251013,-0.0027771206773579246,0.0,0,0,0,0.0,-0.0037043718145182147,0.0009272511371602901
Grouped8_Equal,20251014,-0.01653169412093994,0.0,1,1,0,0.0,-0.01587695912476017,-0.0006547349961797712
Grouped8_Equal,20251015,0.01639592802902685,0.0,1,1,0,0.0,0.014831942212988558,0.0015639858160382929
Grouped8_Equal,20251016,-0.009014051179885784,0.0,1,1,0,0.0,-0.004444496467407966,-0.004569554712477818
Grouped8_Equal,20251017,-0.02499909600645469,0.0,1,1,0,0.0,-0.02553675996118332,0.0005376639547286302
Grouped8_Equal,20251020,0.012029977487118041,0.0,1,1,0,0.0,0.007907509057954565,0.004122468429163476
Grouped8_Equal,20251021,0.01875185603981766,0.0,1,1,0,0.0,0.016091035961148137,0.0026608200786695235
Grouped8_Equal,20251022,-0.0038619485744831096,0.0,1,1,0,0.0,-0.004129381660496367,0.0002674330860132578
Grouped8_Equal,20251023,-0.000590027747725394,0.0,1,1,0,0.0,0.0013623239212767757,-0.0019523516690021698
Grouped8_Equal,20251024,0.01353386833096888,0.0,1,1,0,0.0,0.01208961252686791,0.00144425580410097
Grouped8_Equal,20251027,0.010935926796312376,0.0,0,0,0,0.0,0.012066396296056547,-0.0011304694997441717
Grouped8_Equal,20251028,-0.00036109939872009295,0.0,0,0,0,0.0,-0.0033713103800179223,0.003010210981297829
Grouped8_Equal,20251029,0.0067094570308811954,0.0,0,0,0,0.0,0.011548518413003306,-0.00483906138212211
Grouped8_Equal,20251030,-0.014210678323612547,0.0,0,0,0,0.0,-0.010449249100922597,-0.00376142922268995
Grouped8_Equal,20251031,0.0058291123224507085,0.0,0,0,0,0.0,-0.0054681684168477185,0.011297280739298428
Grouped8_Equal,20251103,0.003958303798884138,0.0,1,1,0,0.0,0.0037553644136496533,0.000202939385234485
Grouped8_Equal,20251104,-0.009016972257776118,0.3861671469740634,0,0,0,0.0,-0.010316642997238556,0.0012996707394624385
Grouped8_Equal,20251105,0.008244213593744755,0.0,1,1,0,0.0,0.0034318201991421216,0.0048123933946026334
Grouped8_Equal,20251106,0.006528948654382282,0.0,1,1,0,0.0,0.012111280916740297,-0.005582332262358014
Grouped8_Equal,20251107,-0.0027159508283665728,0.0,1,1,0,0.0,-0.00256398559561688,-0.00015196523274969278
Grouped8_Equal,20251110,0.0054322441263152995,0.0,1,1,0,0.0,0.003909832043561767,0.0015224120827535322
Grouped8_Equal,20251111,0.0026136896404444117,0.0,1,1,0,0.0,-0.0052332338799098155,0.007846923520354227
Grouped8_Equal,20251112,-0.004675498559751902,0.0,1,1,0,0.0,-0.004074092116268635,-0.0006014064434832671
Grouped8_Equal,20251113,0.0123726239807979,0.0,1,1,0,0.0,0.013007709926454059,-0.0006350859456561581
Grouped8_Equal,20251114,-0.004897648840550832,0.0,1,1,0,0.0,-0.012756418466450481,0.00785876962589965
Grouped8_Equal,20251117,0.00022213313252146175,0.0,2,2,0,0.0,-0.0013624876548130604,0.0015846207873345221
Grouped8_Equal,20251118,-0.011789361815303722,0.0,4,4,0,0.0,-0.009298657793141873,-0.0024907040221618486
Grouped8_Equal,20251119,-0.011145289412117924,0.0,4,4,0,0.0,-0.002807285750988431,-0.008338003661129493
Grouped8_Equal,20251120,-0.007622563426082017,0.0,4,4,0,0.0,-0.00647337033914519,-0.0011491930869368264
Grouped8_Equal,20251121,-0.038973979736958,0.0,2,2,0,0.0,-0.031326702707037746,-0.007647277029920255
Grouped8_Equal,20251124,0.013581525349577918,0.0,4,4,0,0.0,0.005956244491614138,0.00762528085796378
Grouped8_Equal,20251125,0.01598511709404429,0.0,4,4,0,0.0,0.012059974412541363,0.0039251426815029265
Grouped8_Equal,20251126,-0.0035235083559056347,0.0,4,4,0,0.0,0.0024232048132264428,-0.0059467131691320774
Grouped8_Equal,20251127,0.0046885906905034325,0.0,4,4,0,0.0,-1.2056068027344047e-05,0.0047006467585307765
Grouped8_Equal,20251128,0.014135030597187855,0.0,5,5,0,0.0,0.007514641313328685,0.00662038928385917
Grouped8_Equal,20251201,0.006252840521144457,0.0,5,5,0,0.0,0.009490454920531022,-0.0032376143993865644
Grouped8_Equal,20251202,-0.0032609796635016132,0.3650336215177713,1,1,0,0.0,-0.006354376125797145,0.003093396462295532
Grouped8_Equal,20251203,-0.0062001056560087075,0.0,1,1,0,0.0,-0.006925966513095849,0.0007258608570871418
Grouped8_Equal,20251204,-0.00952964433329171,0.0,3,3,0,0.0,0.00021439167932624237,-0.009744036012617953
Grouped8_Equal,20251205,0.01580852025001679,0.0,4,4,0,0.0,0.011385289303876833,0.004423230946139958
Grouped8_Equal,20251208,0.012789644818278071,0.0,4,4,0,0.0,0.010164898543248091,0.0026247462750299804
Grouped8_Equal,20251209,-0.00636742566161405,0.0,3,3,0,0.0,-0.005604679920757416,-0.0007627457408566343
Grouped8_Equal,20251210,0.0016531261974469678,0.0,3,3,0,0.0,0.0011215876955812387,0.0005315385018657291
Grouped8_Equal,20251211,-0.015583904372144056,0.0,3,3,0,0.0,-0.011065688579683264,-0.004518215792460792
Grouped8_Equal,20251212,0.0022803177175331453,0.0,2,2,0,0.0,0.0074489092759941755,-0.00516859155846103
Grouped8_Equal,20251215,-0.0016733564381245561,0.0,2,2,0,0.0,-0.006273523575312856,0.004600167137188299
Grouped8_Equal,20251216,-0.019751682093930138,0.0,2,2,0,0.0,-0.014492171549825628,-0.00525951054410451
Grouped8_Equal,20251217,0.00843670008452384,0.0,2,2,0,0.0,0.015530518413161332,-0.007093818328637492
Grouped8_Equal,20251218,0.0003067649963795015,0.0,0,0,0,0.0,-0.003940217063210016,0.004246982059589518
Grouped8_Equal,20251219,0.01426567171350588,0.0,0,0,0,0.0,0.007671965483585286,0.006593706229920594
Grouped8_Equal,20251222,0.00887127765656288,0.0,1,1,0,0.0,0.010038462923800173,-0.0011671852672372925
Grouped8_Equal,20251223,-0.0002764181578153904,0.0,1,1,0,0.0,-0.0006970911238566302,0.0004206729660412398
Grouped8_Equal,20251224,0.01198072478654438,0.0,2,2,0,0.0,0.008950594186616145,0.0030301305999282345
Grouped8_Equal,20251225,0.00916081716493298,0.0,2,2,0,0.0,0.005933752796535963,0.0032270643683970177
Grouped8_Equal,20251226,0.003591296057363384,0.0,2,2,0,0.0,0.0033317817774005665,0.00025951427996281744
Grouped8_Equal,20251229,-0.004894515357376559,0.0,3,3,0,0.0,-0.0028929182576887813,-0.002001597099687778
Grouped8_Equal,20251230,-0.00439682212470942,0.0,3,3,0,0.0,0.001324682868445226,-0.005721504993154646
Grouped8_Equal,20251231,0.0008196695960176688,0.0,2,2,0,0.0,-0.0016602577562140342,0.002479927352231703
Grouped8_Equal,20260105,0.016352331086500527,0.0,3,3,0,0.0,0.0197442344128691,-0.0033919033263685727
Grouped8_Equal,20260106,0.01302724544859732,0.3544061302681992,0,0,0,0.0,0.01585657032175214,-0.0028293248731548187
Grouped8_Equal,20260107,0.006832440625256527,0.0,1,1,0,0.0,0.0017730663878399167,0.00505937423741661
Grouped8_Equal,20260108,0.011043297545172416,0.0,1,1,0,0.0,0.00048421135298903906,0.010559086192183377
