path,before_exists,after_exists,before_size,after_size,before_mtime_ns,after_mtime_ns,unchanged
database/data/bronze/adj_factor/adj_factor-195eaffcc3dc.parquet,True,True,48907,48907,1783444990851336700,1783444990851336700,True
database/data/bronze/adj_factor/adj_factor-196bc54d62e3.parquet,True,True,53163,53163,1783445193697155700,1783445193697155700,True
database/data/bronze/adj_factor/adj_factor-1976fdc5ce57.parquet,True,True,53439,53439,1783445201114628000,1783445201114628000,True
database/data/bronze/adj_factor/adj_factor-197dc71f946c.parquet,True,True,52391,52391,1783445157636956900,1783445157636956900,True
database/data/bronze/adj_factor/adj_factor-198da132fc43.parquet,True,True,56848,56848,1783445409663995800,1783445409663995800,True
database/data/bronze/adj_factor/adj_factor-19f2fa131720.parquet,True,True,42114,42114,1783444671450915300,1783444671450915300,True
database/data/bronze/adj_factor/adj_factor-1a5f8c909cf5.parquet,True,True,50755,50755,1783444860346285400,1783444860346285400,True
database/data/bronze/adj_factor/adj_factor-1a5faacaa9da.parquet,True,True,45589,45589,1783444807739339700,1783444807739339700,True
database/data/bronze/adj_factor/adj_factor-1a7a9359d149.parquet,True,True,57515,57515,1783445468155003200,1783445468155003200,True
database/data/bronze/adj_factor/adj_factor-1ac65655ae53.parquet,True,True,49138,49138,1783445025196403900,1783445025196403900,True
database/data/bronze/adj_factor/adj_factor-1b0a5c74ac46.parquet,True,True,44722,44722,1783444768010682200,1783444768010682200,True
database/data/bronze/adj_factor/adj_factor-1b328c61bfd0.parquet,True,True,40870,40870,1783444622128642500,1783444622128642500,True
database/data/bronze/adj_factor/adj_factor-1b92bf0f4d83.parquet,True,True,48628,48628,1783444982058456000,1783444982058456000,True
database/data/bronze/adj_factor/adj_factor-1ba12810b087.parquet,True,True,56518,56518,1783445365242935300,1783445365242935300,True
database/data/bronze/adj_factor/adj_factor-1bab736cc69d.parquet,True,True,56603,56603,1783445369093838500,1783445369093838500,True
database/data/bronze/adj_factor/adj_factor-1bb3e4bdcb74.parquet,True,True,54107,54107,1783445268331287200,1783445268331287200,True
database/data/bronze/adj_factor/adj_factor-1c7b1d23d404.parquet,True,True,45741,45741,1783444808175812000,1783444808175812000,True
database/data/bronze/adj_factor/adj_factor-1cb6359c26cb.parquet,True,True,52702,52702,1783445177994769900,1783445177994769900,True
database/data/bronze/adj_factor/adj_factor-1ce60e623f2c.parquet,True,True,51806,51806,1783444945402762300,1783444945402762300,True
database/data/bronze/adj_factor/adj_factor-1d04ef346894.parquet,True,True,53989,53989,1783445247556696500,1783445247556696500,True
