factor,trade_date,portfolio_return,turnover,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight,composite_factor,bucket
Composite_RollingRankIC_D01,20260507,0.02564367041924698,0.23529411764705882,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260508,0.011203085312670915,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260511,0.009754908485854434,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260512,-0.007348243444538021,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260513,0.014562108323996535,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260514,-0.025660929926679375,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260515,-0.008050742965442488,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260518,0.002038811222350818,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260519,0.007101770956331697,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260520,-0.005109255887245806,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260521,-0.03664036875625887,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260522,0.021337396840474702,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260525,-0.001017263695001834,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260526,-0.021780693627167395,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260527,-0.023576637869921053,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260528,0.01424282881583755,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260529,-0.027067994337646943,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260601,-0.0031634891157583103,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260602,-0.0033556816511203314,0.13257575757575757,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260603,0.005343638494525096,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260604,-0.0015187788298596792,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260605,-0.0021762950444012053,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260608,-0.03017910297477798,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260609,0.021536620867187318,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260610,-0.019976873960737523,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260611,-0.01060298861855493,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260612,0.004903949540945358,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260615,0.033643193587839675,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260616,0.015877466900227028,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260617,0.0014866311027186155,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260618,0.002556752873022282,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260622,0.0034458405030928225,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260623,-0.007701359231841193,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260624,0.00028961862232599695,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260625,-0.009066451117980396,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260626,-0.03107497004274142,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260629,-0.003842094992716163,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260630,0.0228255698352016,0.0,2,2,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260701,0.019448126601608603,0.0,1,1,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260702,-0.02136188890889062,0.15500945179584122,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260703,0.0013491297032341932,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260706,-0.022357468258765924,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D01,20260707,-0.02809740593370746,0.0,0,0,0,0.0,Composite_RollingRankIC,1
Composite_RollingRankIC_D02,20220208,0.013923214260611712,1.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220209,0.01619453930931789,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220210,-0.003865892539444734,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220211,-0.020079234608246774,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220214,-0.0027174995295567474,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220215,0.004680020374069892,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220216,0.014476954107303132,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220217,-0.0008415582743961146,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220218,0.00665774789744566,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220221,0.014547058918934383,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220222,-0.009992910811624438,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220223,0.01843140865563116,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220224,-0.025174796129847698,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220225,0.011550598092779186,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220228,0.0007064174446387848,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220301,0.007962986498005588,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220302,0.0039138228601983275,0.501123595505618,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220303,-0.005352821437229393,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220304,-0.011401170749084255,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220307,-0.020234032511909764,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220308,-0.030864237387876334,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220309,-0.013579375200200083,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220310,0.019590045083328612,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220311,0.006361233719543941,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220314,-0.026668105570552398,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220315,-0.052989817134281886,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220316,0.035027868088455386,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220317,0.019660980532230952,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220318,0.012567911936158947,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220321,0.010882193203377945,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220322,-0.0024611546887688173,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220323,0.0025785972020061273,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220324,-0.01343441231134121,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220325,-0.007286782106707531,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220328,-0.0030958221384230107,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220329,-0.010362226679518801,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220330,0.017539231356733676,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220331,-0.004578940906972171,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220401,-0.0012289633654029369,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220406,0.007310473604361498,0.5401785714285714,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220407,-0.02390051019221331,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220408,-0.007754622006815783,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220411,-0.031230193471372732,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220412,0.019125450165527493,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220413,-0.021815813838097574,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220414,0.007788162100984555,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220415,-0.016404775939170176,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220418,0.006539183024653153,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220419,0.005381267326891003,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220420,-0.01178592104669525,0.0,2,2,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220421,-0.03969896169641555,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220422,-0.011917434020644527,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220425,-0.0819920740549617,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220426,-0.03473599569938785,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220427,0.03571425718455214,0.0,2,2,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220428,-0.014723022893821793,0.0,2,2,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220429,0.047696499263819636,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220505,0.01622707699989862,0.0,5,5,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220506,-0.011085183205508008,0.7142857142857142,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220509,0.017817154874835244,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220510,0.019634648360706147,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220511,0.0061568597991383395,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220512,0.009722785128570692,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220513,0.007399107566448482,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220516,0.004404679418122706,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220517,0.0028357837487779126,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220518,0.008081040768582652,0.0,0,0,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220519,0.009643719177068766,0.0,1,1,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220520,0.013761363381432787,0.0,2,2,0,0.0,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220523,0.014175907162598079,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220524,-0.04275045731208577,0.0,2,1,1,0.002257336343115124,Composite_RollingRankIC,2
Composite_RollingRankIC_D02,20220525,0.018610108169750846,0.0,3,2,1,0.002257336343115124,Composite_RollingRankIC,2
