composite_factor,trade_date,bucket,average_forward_return,stock_count
Composite_Equal,20240430,2,-0.06656869096516606,506
Composite_Equal,20240430,3,-0.055669062830146235,507
Composite_Equal,20240430,4,-0.047194675950365646,506
Composite_Equal,20240430,5,-0.04872069341564525,507
Composite_Equal,20240430,6,-0.042433978768796524,506
Composite_Equal,20240430,7,-0.04052491802859988,506
Composite_Equal,20240430,8,-0.03930827939651853,507
Composite_Equal,20240430,9,-0.03271818797245987,506
Composite_Equal,20240430,10,-0.031195882600169277,507
Composite_Equal,20240531,1,-0.08906175460460904,509
Composite_Equal,20240531,2,-0.06560094460499385,509
Composite_Equal,20240531,3,-0.06428910623484492,508
Composite_Equal,20240531,4,-0.05954691797694299,510
Composite_Equal,20240531,5,-0.05282391068683788,509
Composite_Equal,20240531,6,-0.04230371098679893,509
Composite_Equal,20240531,7,-0.05202298916238968,510
Composite_Equal,20240531,8,-0.046358631750287475,509
Composite_Equal,20240531,9,-0.04737060460556257,509
Composite_Equal,20240531,10,-0.04835360399476089,510
Composite_Equal,20240628,1,0.042971607795561695,509
Composite_Equal,20240628,2,0.02073799341362564,510
Composite_Equal,20240628,3,0.01574972426522666,510
Composite_Equal,20240628,4,0.007945896705869659,509
Composite_Equal,20240628,5,0.0017703409952133182,510
Composite_Equal,20240628,6,-0.002792294309741557,510
Composite_Equal,20240628,7,-0.008410554320091244,510
Composite_Equal,20240628,8,-0.018544781571730496,510
Composite_Equal,20240628,9,-0.016329063710542522,510
Composite_Equal,20240628,10,-0.0344820575926344,511
Composite_Equal,20240731,1,-0.040688491402568985,510
Composite_Equal,20240731,2,-0.04227604282413979,510
Composite_Equal,20240731,3,-0.0526194284569713,510
Composite_Equal,20240731,4,-0.04926930663040892,510
Composite_Equal,20240731,5,-0.05908347302353479,510
Composite_Equal,20240731,6,-0.05594817336930271,510
Composite_Equal,20240731,7,-0.054570275049505956,510
Composite_Equal,20240731,8,-0.05951047604847125,510
Composite_Equal,20240731,9,-0.061762440714556804,510
Composite_Equal,20240731,10,-0.0817349693794747,510
Composite_Equal,20240830,1,0.41965417792261067,510
Composite_Equal,20240830,2,0.4070139377686057,511
Composite_Equal,20240830,3,0.37136744943378763,511
Composite_Equal,20240830,4,0.36677066823063526,511
Composite_Equal,20240830,5,0.35907265069349986,511
Composite_Equal,20240830,6,0.3531409013479185,510
Composite_Equal,20240830,7,0.3538893580598056,511
Composite_Equal,20240830,8,0.3742760552312095,511
Composite_Equal,20240830,9,0.3395926094287839,511
Composite_Equal,20240830,10,0.37895462738342944,511
Composite_Equal,20240930,1,0.013343267788580618,511
Composite_Equal,20240930,2,-0.03750161733162878,511
Composite_Equal,20240930,3,-0.04241147522908946,511
Composite_Equal,20240930,4,-0.03973945404212853,511
Composite_Equal,20240930,5,-0.02444951652609418,511
Composite_Equal,20240930,6,-0.05335772856185635,511
Composite_Equal,20240930,7,-0.04606848313561627,511
Composite_Equal,20240930,8,-0.04112781790902385,510
Composite_Equal,20240930,9,-0.06170994600405731,511
Composite_Equal,20240930,10,-0.043117077186778506,511
Composite_Equal,20241031,1,0.1310051244519043,511
Composite_Equal,20241031,2,0.12560786049088443,512
Composite_Equal,20241031,3,0.11252515488099996,511
Composite_Equal,20241031,4,0.10354270826565974,512
Composite_Equal,20241031,5,0.10355207951582887,511
Composite_Equal,20241031,6,0.1238866894501117,512
Composite_Equal,20241031,7,0.09882079202644721,511
Composite_Equal,20241031,8,0.10946799364901803,512
Composite_Equal,20241031,9,0.10691143702555554,510
Composite_Equal,20241031,10,0.13291845796509733,512
Composite_Equal,20241129,1,-0.1048925949091464,512
Composite_Equal,20241129,2,-0.1040699692266568,513
Composite_Equal,20241129,3,-0.08664967513515219,513
Composite_Equal,20241129,4,-0.07483332358818373,513
