factor,trade_date,baseline_log_total_mv,portfolio_log_total_mv,active_log_total_mv,portfolio_size_percentile,baseline_count,holding_count,missing_size_count
Gross_Margin,20260331,13.602051776629498,13.712329734450773,0.1102779578212747,0.5294016027595597,5170,1034,0
Gross_Margin,20260430,13.666481078096648,13.861095072291784,0.19461399419513548,0.5492177031775706,5186,1037,0
Gross_Margin,20260529,13.624365924954803,13.815040222001212,0.19067429704640837,0.5452218878026416,5201,1040,0
Gross_Margin,20260630,13.559354255647467,13.76190273291824,0.20254847727077419,0.5455452135023602,5204,1041,0
Holder_Concen,20220128,13.507779032416082,13.461616152086533,-0.04616288032954863,0.484859880452385,3018,604,0
Holder_Concen,20220228,13.543552337432507,13.485972916310647,-0.05757942112185965,0.482523611290392,3048,610,0
Holder_Concen,20220331,13.480516725766169,13.382265447383354,-0.09825127838281489,0.47133537481687793,3165,633,0
Holder_Concen,20220429,13.302054993864392,13.19575339798747,-0.10630159587692134,0.473268132971609,3455,686,0
Holder_Concen,20220531,13.38957157943476,13.256170932174896,-0.13340064725986345,0.46524769567791024,3541,708,0
Holder_Concen,20220630,13.460456821939307,13.31889994572334,-0.1415568762159669,0.46573333898106994,3571,714,0
Holder_Concen,20220729,13.483362580343067,13.336087144995975,-0.1472754353470922,0.46482370246301175,3612,722,0
Holder_Concen,20220831,13.442284224880753,13.360401717596597,-0.08188250728415625,0.4783254222040343,3845,769,0
Holder_Concen,20220930,13.341172550607043,13.245627463415456,-0.09554508719158683,0.47395434025436933,3903,781,0
Holder_Concen,20221031,13.366204266241688,13.279435075802626,-0.08676919043906217,0.4773476810287261,3990,798,1
Holder_Concen,20221130,13.422701042277962,13.30542855123247,-0.11727249104549209,0.4689513667191386,4038,808,0
Holder_Concen,20221230,13.361498509483718,13.187826924713452,-0.17367158477026656,0.45670939916716247,4100,820,0
Holder_Concen,20230131,13.44208428210885,13.275214937231667,-0.16686934487718297,0.45833296324784656,4109,822,0
Holder_Concen,20230228,13.467775833433969,13.297453145754526,-0.1703226876794428,0.45867449536551175,4130,826,0
Holder_Concen,20230331,13.461844268512086,13.273170907862848,-0.18867336064923812,0.45297099601012947,4192,838,0
Holder_Concen,20230428,13.425309665895863,13.289585731507502,-0.13572393438836095,0.4651163831255044,4308,856,0
Holder_Concen,20230531,13.426673986966952,13.297020287374698,-0.1296536995922537,0.4671835223814124,4362,873,0
Holder_Concen,20230630,13.429363686424281,13.283438957145663,-0.14592472927861877,0.4635911028055827,4412,882,0
Holder_Concen,20230731,13.434398525214442,13.265443870190774,-0.16895465502366847,0.4598746549072179,4442,889,0
Holder_Concen,20230831,13.396915132274094,13.312055825473614,-0.08485930680047993,0.48337351387844785,4570,914,0
Holder_Concen,20230928,13.38872045159382,13.286261596156299,-0.10245885543752031,0.4781057721038138,4584,917,0
Holder_Concen,20231031,13.371633344274285,13.399446255216588,0.02781291094230376,0.5055275248459273,4648,930,0
Holder_Concen,20231130,13.417884476836822,13.441925851247436,0.024041374410614935,0.5025177113666516,4668,934,0
Holder_Concen,20231229,13.407910684990732,13.451297023492513,0.043386338501781196,0.5062898194910385,4688,938,0
Holder_Concen,20240131,13.188550067189428,13.24492258127125,0.05637251408182209,0.507803010107817,4707,942,0
Holder_Concen,20240229,13.242985687068124,13.278281989743196,0.035296302675071445,0.4988813175095985,4724,945,0
