factor,trade_date,decile,average_forward_return,stock_count
Debt_to_Equity,20250930,3,0.017234835502032357,521
Debt_to_Equity,20250930,4,0.008668932705925619,520
Debt_to_Equity,20250930,5,0.018438147889561357,521
Debt_to_Equity,20250930,6,0.010361827351490471,520
Debt_to_Equity,20250930,7,0.01460327527309096,520
Debt_to_Equity,20250930,8,0.014828739997329064,521
Debt_to_Equity,20250930,9,0.01663016701691588,520
Debt_to_Equity,20250930,10,0.010259903300879468,521
Debt_to_Equity,20251031,1,-0.004161247013498849,521
Debt_to_Equity,20251031,2,-0.010320985444810707,522
Debt_to_Equity,20251031,3,-0.015234108171374447,521
Debt_to_Equity,20251031,4,-0.004708135774607846,522
Debt_to_Equity,20251031,5,-0.014909526707603185,521
Debt_to_Equity,20251031,6,-0.010187316309517636,522
Debt_to_Equity,20251031,7,-0.005459357004471371,521
Debt_to_Equity,20251031,8,-0.015465730518898331,522
Debt_to_Equity,20251031,9,-0.0072589893160726025,521
Debt_to_Equity,20251031,10,-0.01300432672148824,521
Debt_to_Equity,20251128,1,0.00456880240708772,521
Debt_to_Equity,20251128,2,0.02580663619848006,522
Debt_to_Equity,20251128,3,0.022418633809655263,522
Debt_to_Equity,20251128,4,0.040659853322612,521
Debt_to_Equity,20251128,5,0.04739111698448702,522
Debt_to_Equity,20251128,6,0.034276294029244765,522
Debt_to_Equity,20251128,7,0.03136177777827591,521
Debt_to_Equity,20251128,8,0.042124985598490594,522
Debt_to_Equity,20251128,9,0.02584277896470197,522
Debt_to_Equity,20251128,10,0.029749352899940178,522
Debt_to_Equity,20251231,1,0.02382718283787288,522
Debt_to_Equity,20251231,2,0.04246909403677275,524
Debt_to_Equity,20251231,3,0.03782160239823355,524
Debt_to_Equity,20251231,4,0.04085847042614609,524
Debt_to_Equity,20251231,5,0.034455550707895265,524
Debt_to_Equity,20251231,6,0.042439173069396346,524
Debt_to_Equity,20251231,7,0.02369387715841727,524
Debt_to_Equity,20251231,8,0.039170745532300905,524
Debt_to_Equity,20251231,9,0.036825093498812085,524
Debt_to_Equity,20251231,10,0.03340920086085748,523
Debt_to_Equity,20260130,1,0.044985903111158264,524
Debt_to_Equity,20260130,2,0.05758717371838551,525
Debt_to_Equity,20260130,3,0.06944682119109445,525
Debt_to_Equity,20260130,4,0.05955446019771686,525
